header,timestamp,totaal_verbruik_dagtarief_kwh,totaal_verbruik_nachttarief_kwh,totaal_injectie_dagtarief_kwh,totale_injectie_nachttarief_kwh,Tarief_indicatie,gemmiddeld_verbruik_kw,timestamp_piekvermogen,piekvermogen_huidige_maand,actief_verbruik_kw,acitef_injectie_kw,instant_vermogen_L1+P_kw,instant_vermogen_l1_injectie_kw,spanning_V,stroom_A,timestamp_gas,gas_verbruik_m³,Totale_injectie_nachttarief_kwh,actief_injectie_kw
"FLU5\253370234_A",2023-09-02T13:25:13Z,0,000447.185,001821.987,0,0002,00.021,2023-09-01T16:00:00Z,04.898,00.065,0,00.065,00.000,241.7,0,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
FLU5\253770234_A	,2023-09-02T13:30:53Z,000335.889,000447.195,001821.987,0,0002,00.004,2023-09-01T16:00:00Z,04.898,0,0,00.039,00.000,241.8,0,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:30:54Z,"000135,889",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,00.038,0,00.038,00.000,241.3,001.13,2023-09-02T13:25:04Z,00817.313,00.000
"FLU5\253770234_A",2023-09-02T13:30:55Z,000335.889,000447.195,001821.987,0,0002,00.004,2023-09-01T16:00:00Z,04.898,00.037,0,00.037,00.000,241.7,001.13,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:30:56Z,000335.889,000447.195,001821.987,0,0002,00.004,2023-09-01T16:00:00Z,04.898,00.036,0,0,0,0,0,0,0,000712.647
"FLU5\253770234_A",2023-09-02T13:30:57Z,000335.889,000447.195,001821.987,0,0002,0,2023-09-01T16:00:00Z,04.898,00.035,0,00.035,00.000,241.7,001.12,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:30:58Z,000335.889,000447.195,001821.987,0,0002,00.004,2023-09-01T16:00:00Z,04.898,00.035,0,00.035,00.000,241.4,001.12,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,00.035,0,00.035,00.000,241.7,001.13,2023-09-02T13:25:04Z,00817.313,00.000
"FLU5\253770234_A",2023-09-02T13:31:00Z,000335.889,000447.195,001821.987,0,0002,00.004,0,0,00.033,0,00.033,00.000,241.4,001.13,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:01Z,000335.889,000447.195,001821.987,0,0002,00.004,0,0,00.032,0,00.032,00.000,241.5,001.12,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:02Z,000335.889,000447.195,001821.987,0,0002,00.004,2023-09-01T16:00:00Z,04.898,00.031,0,00.031,00.000,241.4,001.11,0,0,000712.647,00.000
"FLU5\253770234_A",2023-09-02T13:31:03Z,000335.889,000447.195,001821.987,0,0002,00.004,2023-09-01T16:00:00Z,04.898,00.031,0,00.031,00.000,241.8,001.12,2023-09-02T13:25:04Z,00817.313,000712.647,00.000
